127.0.0.1 - - [08/Sep/2018:13:42:09 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:20 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:20 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:20 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:20 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:20 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:20 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:20 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:20 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:20 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:24 -0300] "POST /Drogaria/faces/pages/produto.xhtml HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:24 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_flat_0_aaaaaa_40x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:26 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-hard_55_555555_1x100.png?ln=primefaces-vader HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:33 -0300] "POST /Drogaria/faces/pages/produto.xhtml HTTP/1.1" 200 210
