127.0.0.1 - - [29/Aug/2018:00:10:36 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:59 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:59 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_666666_256x240.png?ln=primefaces-vader HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:59 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:11:59 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_60_dddddd_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:07 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_f29a00_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:07 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml;jsessionid=D2DB31565910FCA15DA196B00ADFCB8A HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:08 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml;jsessionid=D2DB31565910FCA15DA196B00ADFCB8A HTTP/1.1" 200 22407
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:21 -0300] "GET /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 35102
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:21 -0300] "GET /Drogaria/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:21 -0300] "GET /Drogaria/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:21 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.2 HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:21 -0300] "GET /Drogaria/faces/javax.faces.resource/components.css?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:21 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:21 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:21 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:21 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:21 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:22 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:22 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:22 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:22 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_bbbbbb_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:22 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:22 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_666666_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:22 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:25 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_60_dddddd_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:25 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_c98000_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:26 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_f29a00_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:26 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:26 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_flat_0_aaaaaa_40x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:27 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:30 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:12:31 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:13:33 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:13:34 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:13:37 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:13:41 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:13:42 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:13:51 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 22417
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:13:51 -0300] "GET /Drogaria/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:13:51 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-hard_55_555555_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 35103
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/components.css?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_bbbbbb_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_666666_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:10 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:14 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_60_dddddd_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:14 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_c98000_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:17 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_f29a00_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:17 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:17 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_flat_0_aaaaaa_40x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:19 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 22420
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:19 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-hard_55_555555_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:18:19 -0300] "GET /Drogaria/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=6.2 HTTP/1.1" 304 -
